,
-3.5,-3.5
3.5,3.5
2.0,2.0
7.5,7.5
11.0,11.0
-1.0,-1.0
-1.5,-1.5
15.5,15.5
14.5,14.5
-5.5,-5.5
14.0,14.0
10.5,10.5
14.0,14.0
8.5,8.5
9.0,9.0
24.0,24.0
7.5,7.5
10.0,10.0
22.0,22.0
15.5,15.5
22.5,22.5
18.0,18.0
19.0,19.0
-9.0,-9.0
11.5,11.5
11.5,11.5
17.5,17.5
23.5,23.5
15.0,15.0
15.5,15.5
7.5,7.5
14.0,14.0
11.5,11.5
17.5,17.5
17.5,17.5
17.5,17.5
22.0,22.0
13.5,13.5
19.0,19.0
30.5,30.5
35.5,35.5
18.0,18.0
8.0,8.0
22.5,22.5
17.0,17.0
14.5,14.5
20.5,20.5
25.0,25.0
21.0,21.0
12.5,12.5
11.5,11.5
25.5,25.5
20.0,20.0
28.5,28.5
30.0,30.0
17.5,17.5
28.5,28.5
19.5,19.5
17.0,17.0
16.0,16.0
15.5,15.5
17.5,17.5
11.0,11.0
22.0,22.0
17.5,17.5
17.5,17.5
8.5,8.5
17.5,17.5
13.0,13.0
17.5,17.5
9.5,9.5
20.5,20.5
17.5,17.5
20.0,20.0
28.5,28.5
26.5,26.5
21.5,21.5
28.5,28.5
28.5,28.5
34.5,34.5
26.5,26.5
28.5,28.5
28.5,28.5
30.0,30.0
20.5,20.5
28.5,28.5
28.5,28.5
20.0,20.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
16.5,16.5
26.0,26.0
21.5,21.5
30.0,30.0
21.0,21.0
10.0,10.0
30.0,30.0
28.5,28.5
28.5,28.5
28.5,28.5
18.5,18.5
18.5,18.5
28.5,28.5
30.0,30.0
28.5,28.5
28.5,28.5
28.5,28.5
22.5,22.5
28.5,28.5
14.5,14.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
13.0,13.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
24.5,24.5
16.0,16.0
19.0,19.0
25.0,25.0
28.5,28.5
21.5,21.5
23.0,23.0
15.0,15.0
28.5,28.5
28.5,28.5
24.0,24.0
28.5,28.5
28.5,28.5
19.5,19.5
28.5,28.5
28.5,28.5
28.5,28.5
14.0,14.0
28.5,28.5
17.5,17.5
28.5,28.5
28.5,28.5
28.0,28.0
32.5,32.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
32.0,32.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
24.5,24.5
25.5,25.5
28.5,28.5
30.5,30.5
28.0,28.0
28.5,28.5
28.5,28.5
28.5,28.5
30.0,30.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
19.5,19.5
26.5,26.5
21.5,21.5
28.5,28.5
28.5,28.5
28.5,28.5
20.0,20.0
28.5,28.5
24.0,24.0
28.5,28.5
21.0,21.0
21.5,21.5
28.5,28.5
28.5,28.5
19.5,19.5
28.5,28.5
26.5,26.5
32.5,32.5
22.5,22.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
15.0,15.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
6.5,6.5
30.0,30.0
21.0,21.0
28.5,28.5
30.0,30.0
28.5,28.5
18.0,18.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
18.0,18.0
28.5,28.5
28.5,28.5
29.5,29.5
28.5,28.5
18.5,18.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
20.0,20.0
10.5,10.5
28.5,28.5
19.0,19.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
26.5,26.5
28.0,28.0
28.5,28.5
28.5,28.5
24.0,24.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
23.5,23.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
8.5,8.5
28.5,28.5
28.5,28.5
30.0,30.0
25.5,25.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
22.0,22.0
28.5,28.5
24.0,24.0
21.5,21.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
31.5,31.5
28.5,28.5
28.5,28.5
14.0,14.0
28.5,28.5
28.5,28.5
26.5,26.5
28.5,28.5
28.5,28.5
25.5,25.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
19.0,19.0
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
26.0,26.0
28.5,28.5
28.5,28.5
28.5,28.5
27.5,27.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
30.0,30.0
28.5,28.5
22.5,22.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
28.5,28.5
30.0,30.0
28.5,28.5
28.5,28.5
21.5,21.5
28.5,28.5
